Input order,Input size,Algorithm,Running time,Comparisons
Random data,1000,bubble-sort,2275,1000999
Random data,1000,insertion-sort,636,513543
Random data,1000,selection-sort,1252,1000999
Random data,1000,shaker-sort,2149,785241
Random data,1000,shell-sort,104,37416
Random data,1000,heap-sort,126,47033
Random data,1000,merge-sort,212,34924
Random data,1000,quick-sort,94,25774
Random data,1000,counting-sort,12,6001
Random data,1000,radix-sort,45,11043
Random data,1000,flash-sort,32,9264
Random data,3000,bubble-sort,19967,9002999
Random data,3000,insertion-sort,4593,4486136
Random data,3000,selection-sort,9612,9002999
Random data,3000,shaker-sort,16909,6793319
Random data,3000,shell-sort,368,143724
Random data,3000,heap-sort,388,165677
Random data,3000,merge-sort,610,119708
Random data,3000,quick-sort,280,92464
Random data,3000,counting-sort,33,18003
Random data,3000,radix-sort,162,42057
Random data,3000,flash-sort,93,30036
Random data,5000,bubble-sort,54710,25004999
Random data,5000,insertion-sort,12796,12347743
Random data,5000,selection-sort,25420,25004999
Random data,5000,shaker-sort,47236,18550861
Random data,5000,shell-sort,717,299923
Random data,5000,heap-sort,797,294311
Random data,5000,merge-sort,1013,210420
Random data,5000,quick-sort,499,167377
Random data,5000,counting-sort,54,30002
Random data,5000,radix-sort,266,70057
Random data,5000,flash-sort,136,47413
Random data,10000,bubble-sort,246625,100009999
Random data,10000,insertion-sort,63505,50170585
Random data,10000,selection-sort,102322,100009999
Random data,10000,shaker-sort,206380,75857691
Random data,10000,shell-sort,1456,642383
Random data,10000,heap-sort,1497,638144
Random data,10000,merge-sort,2033,450844
Random data,10000,quick-sort,1052,376526
Random data,10000,counting-sort,138,60003
Random data,10000,radix-sort,694,140057
Random data,10000,flash-sort,342,94699
Random data,30000,bubble-sort,3.1193e+06,900029999
Random data,30000,insertion-sort,710385,448597104
Random data,30000,selection-sort,960833,900029999
Random data,30000,shaker-sort,2.17055e+06,675134989
Random data,30000,shell-sort,5221,2330682
Random data,30000,heap-sort,5722,2149689
Random data,30000,merge-sort,7024,1491692
Random data,30000,quick-sort,3984,1181437
Random data,30000,counting-sort,426,180003
Random data,30000,radix-sort,2265,510071
Random data,30000,flash-sort,933,287995
Random data,50000,bubble-sort,7.81263e+06,2500049999
Random data,50000,insertion-sort,1.31714e+06,1252602924
Random data,50000,selection-sort,2.64016e+06,2500049999
Random data,50000,shaker-sort,7.14801e+06,1877273021
Random data,50000,shell-sort,11612,4419947
Random data,50000,heap-sort,13285,3771483
Random data,50000,merge-sort,15149,2603388
Random data,50000,quick-sort,7633,2206773
Random data,50000,counting-sort,958,282770
Random data,50000,radix-sort,5876,850071
Random data,50000,flash-sort,2466,466104
Nearly sorted data,1000,bubble-sort,1123,1000999
Nearly sorted data,1000,insertion-sort,19,15494
Nearly sorted data,1000,selection-sort,1219,1000999
Nearly sorted data,1000,shaker-sort,92,29791
Nearly sorted data,1000,shell-sort,57,28292
Nearly sorted data,1000,heap-sort,191,49637
Nearly sorted data,1000,merge-sort,269,34924
Nearly sorted data,1000,quick-sort,91,26929
Nearly sorted data,1000,counting-sort,26,6003
Nearly sorted data,1000,radix-sort,66,11043
Nearly sorted data,1000,flash-sort,40,11838
Nearly sorted data,3000,bubble-sort,10742,9002999
